fecha,local,visitante,escudo_local,escudo_visitante,goles_esperados_local,goles_esperados_visitante,marcadores_probables,explicacion_ia,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,cuota_es_real,casa_apuestas,_event_id_odds,_local_odds_api,_visitante_odds_api,pick_es_seguro,calidad_datos,prob_local,prob_empate,prob_visitante,doble_op_1X,doble_op_X2,btts_si,btts_no,over_25,under_25,Over 5.5 corners,Under 5.5 corners,Over 6.5 corners,Under 6.5 corners,Over 7.5 corners,Under 7.5 corners,Over 8.5 corners,Under 8.5 corners,Over 9.5 corners,Under 9.5 corners,Over 10.5 corners,Under 10.5 corners,Over 11.5 corners,Under 11.5 corners,Over 12.5 corners,Under 12.5 corners,Over 13.5 corners,Under 13.5 corners,Más corners: Bournemouth,Más corners: Liverpool,Over 8.5 tiros a puerta,Under 8.5 tiros a puerta,Over 9.5 tiros a puerta,Under 9.5 tiros a puerta,Over 10.5 tiros a puerta,Under 10.5 tiros a puerta,Over 11.5 tiros a puerta,Under 11.5 tiros a puerta,Más tiros a puerta: Bournemouth,Más tiros a puerta: Liverpool,Over 20.5 faltas,Under 20.5 faltas,Over 21.5 faltas,Under 21.5 faltas,Over 22.5 faltas,Under 22.5 faltas,Over 23.5 faltas,Under 23.5 faltas,Más faltas: Bournemouth,Más faltas: Liverpool,Over 25.5 tiros totales,Under 25.5 tiros totales,Over 26.5 tiros totales,Under 26.5 tiros totales,Over 27.5 tiros totales,Under 27.5 tiros totales,Over 28.5 tiros totales,Under 28.5 tiros totales,Más tiros totales: Bournemouth,Más tiros totales: Liverpool,Hándicap asiático -1.5: Bournemouth,Hándicap asiático +1.5: Liverpool,Hándicap asiático -0.5: Bournemouth,Hándicap asiático +0.5: Liverpool,Hándicap asiático +0.5: Bournemouth,Hándicap asiático -0.5: Liverpool,Hándicap asiático +1.5: Bournemouth,Hándicap asiático -1.5: Liverpool,Hándicap europeo -1: Cubre Bournemouth,Hándicap europeo -1: Empate en el hándicap,Hándicap europeo -1: Cubre Liverpool,Hándicap europeo +0: Cubre Bournemouth,Hándicap europeo +0: Empate en el hándicap,Hándicap europeo +0: Cubre Liverpool,Hándicap europeo +1: Cubre Bournemouth,Hándicap europeo +1: Empate en el hándicap,Hándicap europeo +1: Cubre Liverpool,Más corners: Leeds,Más corners: Crystal Palace,Over 6.5 tiros a puerta,Under 6.5 tiros a puerta,Over 7.5 tiros a puerta,Under 7.5 tiros a puerta,Más tiros a puerta: Leeds,Más tiros a puerta: Crystal Palace,Más faltas: Leeds,Más faltas: Crystal Palace,Over 23.5 tiros totales,Under 23.5 tiros totales,Over 24.5 tiros totales,Under 24.5 tiros totales,Más tiros totales: Leeds,Más tiros totales: Crystal Palace,Hándicap asiático -0.5: Leeds,Hándicap asiático +0.5: Crystal Palace,Hándicap asiático +0.5: Leeds,Hándicap asiático -0.5: Crystal Palace,Hándicap asiático +1.5: Leeds,Hándicap asiático -1.5: Crystal Palace,Hándicap asiático +2.5: Leeds,Hándicap asiático -2.5: Crystal Palace,Hándicap europeo -1: Cubre Leeds,Hándicap europeo -1: Cubre Crystal Palace,Hándicap europeo +0: Cubre Leeds,Hándicap europeo +0: Cubre Crystal Palace,Hándicap europeo +1: Cubre Leeds,Hándicap europeo +1: Cubre Crystal Palace,Más corners: Man City,Más corners: Sunderland,Más tiros a puerta: Man City,Más tiros a puerta: Sunderland,Over 19.5 faltas,Under 19.5 faltas,Más faltas: Man City,Más faltas: Sunderland,Más tiros totales: Man City,Más tiros totales: Sunderland,Hándicap asiático +0.5: Man City,Hándicap asiático -0.5: Sunderland,Hándicap asiático +1.5: Man City,Hándicap asiático -1.5: Sunderland,Hándicap asiático +2.5: Man City,Hándicap asiático -2.5: Sunderland,Hándicap asiático +3.5: Man City,Hándicap asiático -3.5: Sunderland,Hándicap europeo +1: Cubre Man City,Hándicap europeo +1: Cubre Sunderland,Hándicap europeo +2: Cubre Man City,Hándicap europeo +2: Empate en el hándicap,Hándicap europeo +2: Cubre Sunderland,Hándicap europeo +3: Cubre Man City,Hándicap europeo +3: Empate en el hándicap,Hándicap europeo +3: Cubre Sunderland,Más corners: Fulham,Más corners: Man United,Más tiros a puerta: Fulham,Más tiros a puerta: Man United,Over 18.5 faltas,Under 18.5 faltas,Más faltas: Fulham,Más faltas: Man United,Más tiros totales: Fulham,Más tiros totales: Man United,Hándicap asiático -1.5: Fulham,Hándicap asiático +1.5: Man United,Hándicap asiático -0.5: Fulham,Hándicap asiático +0.5: Man United,Hándicap asiático +0.5: Fulham,Hándicap asiático -0.5: Man United,Hándicap asiático +1.5: Fulham,Hándicap asiático -1.5: Man United,Hándicap europeo -1: Cubre Fulham,Hándicap europeo -1: Cubre Man United,Hándicap europeo +0: Cubre Fulham,Hándicap europeo +0: Cubre Man United,Hándicap europeo +1: Cubre Fulham,Hándicap europeo +1: Cubre Man United
2026-09-20 13:00:00,Bournemouth,Liverpool,https://crests.football-data.org/bournemouth.png,https://crests.football-data.org/64.png,1.27,1.66,"[{'marcador': '1-1', 'probabilidad': np.float64(12.2)}, {'marcador': '1-2', 'probabilidad': np.float64(10.1)}, {'marcador': '2-1', 'probabilidad': np.float64(7.8)}, {'marcador': '0-1', 'probabilidad': np.float64(7.6)}, {'marcador': '2-2', 'probabilidad': np.float64(6.4)}]","['Goles esperados según nuestro modelo: Bournemouth 1.27 — 1.66 Liverpool (favorece a Liverpool)', 'Forma reciente de Bournemouth (últimos 5): 0V-4E-1D', 'Forma reciente de Liverpool (últimos 5): 1V-4E-0D', 'Índice de ataque (nuestro modelo): Bournemouth 0.88 de local vs Liverpool 1.42 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Bournemouth 0.89 de local vs Liverpool 0.92 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Bournemouth genera 1.10 de local vs Liverpool 1.33 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Over 7.5 corners"", alcanza 82.1% de probabilidad calibrada según nuestro modelo.']",Over 7.5 corners,False,82.1,1.12,False,,,,,True,completo,31.3,26.6,42.1,57.9,68.7,59.3,40.7,53.9,46.1,94.9,5.1,89.8,10.2,82.1,17.9,72.0,28.0,60.2,39.8,47.8,52.2,36.0,64.0,25.7,74.3,17.4,82.6,20.8,69.0,56.5,41.9,46.5,51.8,37.4,61.1,30.2,68.4,39.3,49.3,54.3,40.4,47.1,47.5,40.1,54.6,33.9,61.1,46.2,41.2,59.2,40.8,51.6,48.4,43.9,56.1,36.6,63.4,24.9,68.5,11.6,88.4,28.2,71.8,55.0,45.0,76.9,23.1,11.6,16.6,71.8,28.2,26.7,45.0,55.0,22.0,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20 13:00:00,Leeds,Crystal Palace,https://crests.football-data.org/341.png,https://crests.football-data.org/354.png,1.5,1.2,"[{'marcador': '1-1', 'probabilidad': np.float64(13.1)}, {'marcador': '2-1', 'probabilidad': np.float64(9.8)}, {'marcador': '1-0', 'probabilidad': np.float64(8.7)}, {'marcador': '1-2', 'probabilidad': np.float64(7.9)}, {'marcador': '0-0', 'probabilidad': np.float64(7.8)}]","['Goles esperados según nuestro modelo: Leeds 1.50 — 1.20 Crystal Palace (favorece a Leeds)', 'Forma reciente de Leeds (últimos 5): 2V-2E-1D', 'Forma reciente de Crystal Palace (últimos 5): 1V-0E-4D', 'Índice de ataque (nuestro modelo): Leeds 0.98 de local vs Crystal Palace 0.92 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Leeds 1.00 de local vs Crystal Palace 0.98 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Leeds genera 1.00 de local vs Crystal Palace 0.86 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Under 12.5 corners"", alcanza 82.1% de probabilidad calibrada según nuestro modelo.']",Under 12.5 corners,False,82.1,1.12,False,,b63aef4291a066e32644e591c19a235a,Leeds United,Crystal Palace,True,completo,43.7,27.1,29.1,70.9,56.3,54.5,45.5,47.4,52.6,92.0,8.0,84.8,15.2,75.0,25.0,63.0,37.0,50.2,49.8,37.7,62.3,26.8,73.2,17.9,82.1,11.3,88.7,,,42.0,56.4,33.1,65.5,,,,,,,53.9,40.8,46.6,48.0,39.7,55.1,33.5,61.5,,,40.6,59.4,33.2,66.8,,,,,,,,,,,,,,,,22.0,,,28.2,,,17.4,,68.8,20.6,63.1,35.4,52.6,45.7,44.9,42.5,32.7,55.8,56.6,43.4,48.6,51.4,65.8,27.1,42.7,57.3,70.9,29.1,88.3,11.7,96.3,3.7,20.7,57.3,42.7,29.1,70.9,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20 13:00:00,Man City,Sunderland,https://crests.football-data.org/65.png,https://crests.football-data.org/71.png,2.38,0.63,"[{'marcador': '2-0', 'probabilidad': np.float64(13.1)}, {'marcador': '1-0', 'probabilidad': np.float64(11.1)}, {'marcador': '3-0', 'probabilidad': np.float64(10.4)}, {'marcador': '2-1', 'probabilidad': np.float64(9.7)}, {'marcador': '1-1', 'probabilidad': np.float64(8.2)}]","['Goles esperados según nuestro modelo: Man City 2.38 — 0.63 Sunderland (favorece a Man City)', 'Forma reciente de Man City (últimos 5): 4V-0E-1D — viene de ganar 4 partidos consecutivos', 'Forma reciente de Sunderland (últimos 5): 2V-1E-2D', 'Índice de ataque (nuestro modelo): Man City 1.58 de local vs Sunderland 0.73 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Man City 0.65 de local vs Sunderland 0.96 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Man City genera 1.32 de local vs Sunderland 0.74 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Doble oportunidad 1X + Under 13.5 corners"", alcanza 80.6% de probabilidad calibrada según nuestro modelo.']",Doble oportunidad 1X + Under 13.5 corners,True,80.6,1.14,False,,,,,True,completo,69.2,18.7,12.1,87.9,30.8,39.0,61.0,54.4,45.6,90.1,9.9,81.8,18.2,70.9,29.1,58.2,41.8,45.0,55.0,32.9,67.1,22.6,77.4,14.6,85.4,8.9,91.1,,,50.6,47.8,40.6,57.8,32.4,66.2,,,,,46.4,48.3,39.3,55.5,33.0,62.0,,,,,49.6,50.4,41.8,58.2,34.4,65.6,,,,,,,,,,,,,,,,,,,,5.7,,,,,,60.7,37.7,,,,,,,57.5,42.5,,,,,,,,,,,,,,,,,93.6,3.0,76.3,19.8,53.8,40.9,33.1,55.1,99.6,0.2,92.6,7.4,98.3,1.7,99.7,0.3,100.0,0.0,92.6,1.7,98.3,1.4,0.3,99.7,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20 15:30:00,Fulham,Man United,https://crests.football-data.org/63.png,https://crests.football-data.org/66.png,1.4,1.46,"[{'marcador': '1-1', 'probabilidad': np.float64(12.7)}, {'marcador': '1-2', 'probabilidad': np.float64(9.3)}, {'marcador': '2-1', 'probabilidad': np.float64(8.9)}, {'marcador': '0-1', 'probabilidad': np.float64(7.1)}, {'marcador': '0-0', 'probabilidad': np.float64(6.8)}]","['Goles esperados según nuestro modelo: Fulham 1.40 — 1.46 Man United (favorece a Man United)', 'Forma reciente de Fulham (últimos 5): 1V-1E-3D', 'Forma reciente de Man United (últimos 5): 2V-1E-2D', 'Índice de ataque (nuestro modelo): Fulham 0.97 de local vs Man United 1.04 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Fulham 1.07 de local vs Man United 0.93 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Fulham genera 1.00 de local vs Man United 0.98 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Under 13.5 corners"", alcanza 81.7% de probabilidad calibrada según nuestro modelo.']",Under 13.5 corners,False,81.7,1.12,False,,182b81a9e220b2347235107c42802fd8,Fulham,Manchester United,True,completo,36.9,27.2,35.9,64.1,63.1,58.8,41.2,52.0,48.0,95.3,4.7,90.3,9.7,82.9,17.1,73.1,26.9,61.5,38.5,49.2,50.8,37.3,62.7,26.9,73.1,18.3,81.7,,,49.4,49.0,39.5,59.0,31.5,67.1,,,,,41.6,53.1,34.9,60.1,,,,,,,57.2,42.8,49.4,50.6,41.8,58.2,34.5,65.5,,,,,,,,,,,,19.2,,,27.6,,,20.1,,,,,,59.7,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,45.7,,,,,,,,,,,,,,,,,,,,,54.2,33.8,39.9,48.2,56.4,38.4,40.9,46.3,53.2,39.2,15.6,84.4,34.8,65.2,62.5,37.5,82.5,17.5,15.6,65.2,34.8,37.5,62.5,17.5
