id_combinada,numero_fecha,fecha_generado,es_gratis,partidos_json,cuota_combinada,resultado,liga
Brentford|Tottenham+Hull|Man United+Ipswich|Sunderland,2,2026-08-21,True,"[{""fecha"": ""2026-08-22 11:30:00"", ""local"": ""Hull"", ""visitante"": ""Man United"", ""pick_recomendado"": ""Over 1.5 goles"", ""pick_probabilidad"": 80.2, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-22 16:30:00"", ""local"": ""Brentford"", ""visitante"": ""Tottenham"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 80.1, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Ipswich"", ""visitante"": ""Sunderland"", ""pick_recomendado"": ""Doble oportunidad X2 + Under 13.5 corners"", ""pick_probabilidad"": 80.0, ""liga"": ""premier_league""}]",1.85,,premier_league
Brighton|Aston Villa+Everton|Crystal Palace+Newcastle|Liverpool,2,2026-08-21,False,"[{""fecha"": ""2026-08-23 15:30:00"", ""local"": ""Newcastle"", ""visitante"": ""Liverpool"", ""pick_recomendado"": ""Over 1.5 goles + Over 6.5 corners"", ""pick_probabilidad"": 80.8, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-23 13:00:00"", ""local"": ""Brighton"", ""visitante"": ""Aston Villa"", ""pick_recomendado"": ""Under 12.5 corners"", ""pick_probabilidad"": 80.3, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Everton"", ""visitante"": ""Crystal Palace"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 80.3, ""liga"": ""premier_league""}]",1.82,,premier_league
Barcelona|Ath Bilbao+Nott'm Forest|Leeds+Real Madrid|Sociedad,1,2026-08-22,False,"[{""fecha"": ""2026-08-26 19:00:00"", ""local"": ""Real Madrid"", ""visitante"": ""Sociedad"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 82.1, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-27 19:00:00"", ""local"": ""Barcelona"", ""visitante"": ""Ath Bilbao"", ""pick_recomendado"": ""Over 1.5 goles"", ""pick_probabilidad"": 82.1, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Nott'm Forest"", ""visitante"": ""Leeds"", ""pick_recomendado"": ""Under 12.5 corners"", ""pick_probabilidad"": 82.0, ""liga"": ""premier_league""}]",1.71,,mixta
Brentford|Tottenham+Brighton|Aston Villa+Ipswich|Sunderland,2,2026-08-22,True,"[{""fecha"": ""2026-08-23 13:00:00"", ""local"": ""Brighton"", ""visitante"": ""Aston Villa"", ""pick_recomendado"": ""Under 12.5 corners"", ""pick_probabilidad"": 80.3, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-22 16:30:00"", ""local"": ""Brentford"", ""visitante"": ""Tottenham"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 80.1, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Ipswich"", ""visitante"": ""Sunderland"", ""pick_recomendado"": ""Doble oportunidad X2 + Under 13.5 corners"", ""pick_probabilidad"": 80.1, ""liga"": ""premier_league""}]",1.84,,premier_league
Fulham|Chelsea+Real Madrid|Sociedad+Valencia|Betis,1,2026-08-22,False,"[{""fecha"": ""2026-08-24 19:00:00"", ""local"": ""Fulham"", ""visitante"": ""Chelsea"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 84.8, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-25 19:00:00"", ""local"": ""Valencia"", ""visitante"": ""Betis"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 84.3, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-26 19:00:00"", ""local"": ""Real Madrid"", ""visitante"": ""Sociedad"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 82.2, ""liga"": ""la_liga""}]",1.6,,mixta
Barcelona|Ath Bilbao+Celta|Osasuna+Nott'm Forest|Leeds,1,2026-08-22,False,"[{""fecha"": ""2026-08-27 18:30:00"", ""local"": ""Celta"", ""visitante"": ""Osasuna"", ""pick_recomendado"": ""Under 11.5 corners"", ""pick_probabilidad"": 82.1, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-27 19:00:00"", ""local"": ""Barcelona"", ""visitante"": ""Ath Bilbao"", ""pick_recomendado"": ""Over 1.5 goles"", ""pick_probabilidad"": 82.1, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Nott'm Forest"", ""visitante"": ""Leeds"", ""pick_recomendado"": ""Under 12.5 corners"", ""pick_probabilidad"": 82.0, ""liga"": ""premier_league""}]",1.71,,mixta
Barcelona|Ath Bilbao+Man City|Bournemouth+Newcastle|Liverpool,1,2026-08-23,True,"[{""fecha"": ""2026-08-27 19:00:00"", ""local"": ""Barcelona"", ""visitante"": ""Ath Bilbao"", ""pick_recomendado"": ""Over 1.5 goles"", ""pick_probabilidad"": 82.1, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-23 13:00:00"", ""local"": ""Man City"", ""visitante"": ""Bournemouth"", ""pick_recomendado"": ""Doble oportunidad 1X + Over 5.5 corners"", ""pick_probabilidad"": 81.2, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-23 15:30:00"", ""local"": ""Newcastle"", ""visitante"": ""Liverpool"", ""pick_recomendado"": ""Over 1.5 goles + Over 6.5 corners"", ""pick_probabilidad"": 80.9, ""liga"": ""premier_league""}]",1.75,,mixta
Brighton|Aston Villa+Celta|Osasuna,2,2026-08-23,False,"[{""fecha"": ""2026-08-23 13:00:00"", ""local"": ""Brighton"", ""visitante"": ""Aston Villa"", ""pick_recomendado"": ""Under 12.5 corners"", ""pick_probabilidad"": 80.3, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-27 18:30:00"", ""local"": ""Celta"", ""visitante"": ""Osasuna"", ""pick_recomendado"": ""Over 5.5 corners"", ""pick_probabilidad"": 80.1, ""liga"": ""la_liga""}]",1.45,,mixta
Barcelona|Ath Bilbao+Celta|Osasuna,1,2026-08-24,False,"[{""fecha"": ""2026-08-27 19:00:00"", ""local"": ""Barcelona"", ""visitante"": ""Ath Bilbao"", ""pick_recomendado"": ""Over 1.5 goles"", ""pick_probabilidad"": 82.1, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-27 18:30:00"", ""local"": ""Celta"", ""visitante"": ""Osasuna"", ""pick_recomendado"": ""Over 5.5 corners"", ""pick_probabilidad"": 80.1, ""liga"": ""la_liga""}]",1.42,,la_liga
Barcelona|Ath Bilbao+Fulham|Chelsea+Valencia|Betis,1,2026-08-24,True,"[{""fecha"": ""2026-08-24 19:00:00"", ""local"": ""Fulham"", ""visitante"": ""Chelsea"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 84.8, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-25 19:00:00"", ""local"": ""Valencia"", ""visitante"": ""Betis"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 84.4, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-27 19:00:00"", ""local"": ""Barcelona"", ""visitante"": ""Ath Bilbao"", ""pick_recomendado"": ""Over 1.5 goles"", ""pick_probabilidad"": 82.1, ""liga"": ""la_liga""}]",1.6,,mixta
Celta|Osasuna+Real Madrid|Sociedad,1,2026-08-24,False,"[{""fecha"": ""2026-08-26 19:00:00"", ""local"": ""Real Madrid"", ""visitante"": ""Sociedad"", ""pick_recomendado"": ""Doble oportunidad 1X + Over 5.5 corners"", ""pick_probabilidad"": 80.2, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-27 18:30:00"", ""local"": ""Celta"", ""visitante"": ""Osasuna"", ""pick_recomendado"": ""Over 5.5 corners"", ""pick_probabilidad"": 80.2, ""liga"": ""la_liga""}]",1.45,,la_liga
