Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HC,AC,HY,AY,HST,AST
18/09/2022,Union Berlin,Wolfsburg,2,0,H,4.0,1.0,0.0,0.0,4.0,0.0
30/09/2022,Bayern Munich,Leverkusen,4,0,H,6.0,2.0,0.0,0.0,10.0,5.0
01/10/2022,Ein Frankfurt,Union Berlin,2,0,H,4.0,7.0,3.0,4.0,4.0,5.0
01/10/2022,FC Koln,Dortmund,3,2,H,7.0,11.0,4.0,3.0,16.0,13.0
01/10/2022,Freiburg,Mainz,2,1,H,5.0,5.0,2.0,4.0,6.0,7.0
01/10/2022,RB Leipzig,Bochum,4,0,H,7.0,2.0,0.0,2.0,9.0,1.0
01/10/2022,Werder Bremen,M'gladbach,5,1,H,4.0,5.0,0.0,1.0,9.0,9.0
01/10/2022,Wolfsburg,Stuttgart,3,2,H,8.0,5.0,3.0,5.0,7.0,7.0
02/10/2022,Hertha,Hoffenheim,1,1,D,2.0,6.0,2.0,1.0,5.0,4.0
02/10/2022,Schalke 04,Augsburg,2,3,A,8.0,4.0,2.0,6.0,5.0,5.0
07/10/2022,Hoffenheim,Werder Bremen,1,2,A,3.0,3.0,3.0,3.0,6.0,3.0
08/10/2022,Augsburg,Wolfsburg,1,1,D,11.0,5.0,5.0,3.0,5.0,7.0
08/10/2022,Bochum,Ein Frankfurt,3,0,H,9.0,4.0,2.0,1.0,6.0,2.0
08/10/2022,Dortmund,Bayern Munich,2,2,D,7.0,4.0,3.0,6.0,6.0,3.0
08/10/2022,Leverkusen,Schalke 04,4,0,H,3.0,3.0,1.0,1.0,7.0,1.0
08/10/2022,Mainz,RB Leipzig,1,1,D,4.0,2.0,1.0,1.0,3.0,3.0
09/10/2022,Hertha,Freiburg,2,2,D,4.0,2.0,2.0,1.0,3.0,4.0
09/10/2022,M'gladbach,FC Koln,5,2,H,7.0,4.0,2.0,3.0,6.0,3.0
09/10/2022,Stuttgart,Union Berlin,0,1,A,2.0,5.0,3.0,3.0,3.0,4.0
14/10/2022,Schalke 04,Hoffenheim,0,3,A,4.0,5.0,2.0,2.0,2.0,7.0
15/10/2022,Ein Frankfurt,Leverkusen,5,1,H,7.0,1.0,0.0,4.0,11.0,2.0
15/10/2022,RB Leipzig,Hertha,3,2,H,8.0,4.0,2.0,3.0,5.0,5.0
15/10/2022,Stuttgart,Bochum,4,1,H,3.0,3.0,0.0,3.0,7.0,4.0
15/10/2022,Werder Bremen,Mainz,0,2,A,3.0,3.0,1.0,2.0,4.0,5.0
15/10/2022,Wolfsburg,M'gladbach,2,2,D,7.0,6.0,3.0,3.0,4.0,5.0
16/10/2022,Bayern Munich,Freiburg,5,0,H,5.0,5.0,0.0,2.0,8.0,0.0
16/10/2022,FC Koln,Augsburg,3,2,H,5.0,3.0,2.0,4.0,6.0,3.0
16/10/2022,Union Berlin,Dortmund,2,0,H,5.0,8.0,1.0,2.0,5.0,6.0
21/10/2022,Mainz,FC Koln,5,0,H,5.0,4.0,1.0,5.0,7.0,2.0
22/10/2022,Augsburg,RB Leipzig,3,3,D,3.0,6.0,7.0,1.0,3.0,8.0
22/10/2022,Dortmund,Stuttgart,5,0,H,9.0,2.0,1.0,0.0,10.0,1.0
22/10/2022,Freiburg,Werder Bremen,2,0,H,6.0,2.0,2.0,2.0,7.0,2.0
22/10/2022,Hoffenheim,Bayern Munich,0,2,A,7.0,5.0,3.0,2.0,3.0,10.0
22/10/2022,Leverkusen,Wolfsburg,2,2,D,3.0,3.0,3.0,1.0,5.0,3.0
22/10/2022,M'gladbach,Ein Frankfurt,1,3,A,3.0,2.0,3.0,2.0,3.0,5.0
23/10/2022,Bochum,Union Berlin,2,1,H,3.0,7.0,1.0,3.0,5.0,3.0
23/10/2022,Hertha,Schalke 04,2,1,H,5.0,6.0,5.0,1.0,4.0,2.0
28/10/2022,Werder Bremen,Hertha,1,0,H,4.0,5.0,2.0,3.0,4.0,1.0
29/10/2022,Bayern Munich,Mainz,6,2,H,8.0,5.0,1.0,1.0,12.0,5.0
29/10/2022,Ein Frankfurt,Dortmund,1,2,A,4.0,3.0,5.0,5.0,8.0,2.0
29/10/2022,RB Leipzig,Leverkusen,2,0,H,3.0,3.0,3.0,3.0,6.0,1.0
29/10/2022,Stuttgart,Augsburg,2,1,H,10.0,3.0,1.0,2.0,8.0,6.0
29/10/2022,Wolfsburg,Bochum,4,0,H,7.0,2.0,1.0,1.0,7.0,3.0
30/10/2022,FC Koln,Hoffenheim,1,1,D,5.0,4.0,1.0,2.0,3.0,4.0
30/10/2022,Schalke 04,Freiburg,0,2,A,4.0,8.0,3.0,2.0,3.0,9.0
30/10/2022,Union Berlin,M'gladbach,2,1,H,6.0,5.0,3.0,2.0,5.0,3.0
04/11/2022,M'gladbach,Stuttgart,3,1,H,3.0,5.0,2.0,1.0,6.0,4.0
05/11/2022,Augsburg,Ein Frankfurt,1,2,A,3.0,6.0,0.0,1.0,5.0,7.0
05/11/2022,Dortmund,Bochum,3,0,H,2.0,5.0,1.0,1.0,3.0,1.0
05/11/2022,Hertha,Bayern Munich,2,3,A,2.0,7.0,0.0,0.0,5.0,4.0
05/11/2022,Hoffenheim,RB Leipzig,1,3,A,6.0,3.0,4.0,2.0,3.0,8.0
05/11/2022,Mainz,Wolfsburg,0,3,A,9.0,4.0,1.0,1.0,3.0,3.0
05/11/2022,Werder Bremen,Schalke 04,2,1,H,3.0,3.0,3.0,2.0,5.0,3.0
06/11/2022,Freiburg,FC Koln,2,0,H,5.0,3.0,0.0,1.0,5.0,2.0
06/11/2022,Leverkusen,Union Berlin,5,0,H,1.0,5.0,1.0,4.0,8.0,1.0
08/11/2022,Bayern Munich,Werder Bremen,6,1,H,8.0,4.0,0.0,0.0,10.0,1.0
08/11/2022,Bochum,M'gladbach,2,1,H,6.0,3.0,1.0,3.0,4.0,2.0
08/11/2022,Stuttgart,Hertha,2,1,H,8.0,5.0,3.0,2.0,7.0,4.0
08/11/2022,Wolfsburg,Dortmund,2,0,H,6.0,9.0,4.0,2.0,8.0,6.0
09/11/2022,Ein Frankfurt,Hoffenheim,4,2,H,4.0,5.0,0.0,3.0,8.0,3.0
09/11/2022,FC Koln,Leverkusen,1,2,A,6.0,1.0,1.0,2.0,7.0,3.0
09/11/2022,RB Leipzig,Freiburg,3,1,H,6.0,2.0,1.0,4.0,8.0,2.0
09/11/2022,Schalke 04,Mainz,1,0,H,1.0,6.0,3.0,1.0,4.0,1.0
09/11/2022,Union Berlin,Augsburg,2,2,D,6.0,3.0,1.0,4.0,6.0,2.0
11/11/2022,M'gladbach,Dortmund,4,2,H,2.0,9.0,1.0,2.0,6.0,10.0
12/11/2022,Augsburg,Bochum,0,1,A,6.0,2.0,1.0,1.0,5.0,4.0
12/11/2022,Hertha,FC Koln,2,0,H,10.0,5.0,3.0,1.0,8.0,2.0
12/11/2022,Hoffenheim,Wolfsburg,1,2,A,7.0,1.0,0.0,3.0,8.0,3.0
12/11/2022,Leverkusen,Stuttgart,2,0,H,4.0,2.0,2.0,3.0,3.0,1.0
12/11/2022,Schalke 04,Bayern Munich,0,2,A,4.0,5.0,0.0,0.0,2.0,6.0
12/11/2022,Werder Bremen,RB Leipzig,1,2,A,0.0,4.0,1.0,2.0,5.0,3.0
13/11/2022,Freiburg,Union Berlin,4,1,H,2.0,1.0,0.0,1.0,5.0,2.0
13/11/2022,Mainz,Ein Frankfurt,1,1,D,5.0,2.0,2.0,2.0,6.0,3.0
20/01/2023,RB Leipzig,Bayern Munich,1,1,D,3.0,2.0,2.0,3.0,3.0,2.0
21/01/2023,Bochum,Hertha,3,1,H,1.0,6.0,1.0,1.0,3.0,2.0
21/01/2023,Ein Frankfurt,Schalke 04,3,0,H,5.0,4.0,2.0,3.0,3.0,4.0
21/01/2023,FC Koln,Werder Bremen,7,1,H,2.0,2.0,0.0,0.0,7.0,2.0
21/01/2023,Stuttgart,Mainz,1,1,D,3.0,5.0,1.0,3.0,4.0,2.0
21/01/2023,Union Berlin,Hoffenheim,3,1,H,9.0,4.0,2.0,1.0,5.0,5.0
21/01/2023,Wolfsburg,Freiburg,6,0,H,0.0,5.0,1.0,2.0,11.0,1.0
22/01/2023,Dortmund,Augsburg,4,3,H,7.0,3.0,1.0,4.0,10.0,4.0
22/01/2023,M'gladbach,Leverkusen,2,3,A,2.0,3.0,3.0,2.0,8.0,5.0
24/01/2023,Bayern Munich,FC Koln,1,1,D,9.0,4.0,0.0,1.0,7.0,1.0
24/01/2023,Hertha,Wolfsburg,0,5,A,6.0,4.0,2.0,0.0,2.0,7.0
24/01/2023,Hoffenheim,Stuttgart,2,2,D,6.0,4.0,1.0,3.0,5.0,4.0
