fecha,local,visitante,escudo_local,escudo_visitante,goles_esperados_local,goles_esperados_visitante,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,pick_es_seguro,prob_local,prob_empate,prob_visitante,doble_op_1X,doble_op_X2,btts_si,btts_no,over_25,under_25,handicap_local_-0.5,handicap_visitante_+0.5,Over 5.5 corners,Under 5.5 corners,Over 6.5 corners,Under 6.5 corners,Over 7.5 corners,Under 7.5 corners,Over 8.5 corners,Under 8.5 corners,Over 9.5 corners,Under 9.5 corners,Over 10.5 corners,Under 10.5 corners,Over 11.5 corners,Under 11.5 corners,Over 12.5 corners,Under 12.5 corners,Over 13.5 corners,Under 13.5 corners,Más corners: Hoffenheim,Más corners: Stuttgart,Over 10.0 tiros a puerta,Under 10.0 tiros a puerta,Over 11.0 tiros a puerta,Under 11.0 tiros a puerta,Over 12.0 tiros a puerta,Under 12.0 tiros a puerta,Over 13.0 tiros a puerta,Under 13.0 tiros a puerta,Más tiros a puerta: Hoffenheim,Más tiros a puerta: Stuttgart,Más corners: Dortmund,Más corners: Paderborn,Over 3.0 tiros a puerta,Under 3.0 tiros a puerta,Over 4.0 tiros a puerta,Under 4.0 tiros a puerta,Over 5.0 tiros a puerta,Under 5.0 tiros a puerta,Over 6.0 tiros a puerta,Under 6.0 tiros a puerta,Más tiros a puerta: Dortmund,Más tiros a puerta: Paderborn,Más corners: Augsburg,Más corners: Leverkusen,Over 8.0 tiros a puerta,Under 8.0 tiros a puerta,Over 9.0 tiros a puerta,Under 9.0 tiros a puerta,Más tiros a puerta: Augsburg,Más tiros a puerta: Leverkusen,Más corners: Mainz,Más corners: Ein Frankfurt,Over 7.0 tiros a puerta,Under 7.0 tiros a puerta,Más tiros a puerta: Mainz,Más tiros a puerta: Ein Frankfurt,Más corners: Freiburg,Más corners: M'gladbach,Más tiros a puerta: Freiburg,Más tiros a puerta: M'gladbach,Más corners: FC Koln,Más corners: Werder Bremen,Más tiros a puerta: FC Koln,Más tiros a puerta: Werder Bremen
2026-09-12 13:30:00,Hoffenheim,Stuttgart,https://crests.football-data.org/2.png,https://crests.football-data.org/10.png,1.99,2.26,Ambos anotan - Si,False,80.5,1.14,True,26.1,17.0,36.0,51.7,63.0,80.5,12.7,79.2,13.7,36.5,51.2,87.4,8.0,84.3,10.1,78.6,14.1,69.0,21.3,55.5,32.5,40.6,46.8,27.8,61.0,18.9,72.1,13.5,79.4,42.2,31.0,52.5,35.2,38.2,49.3,26.4,62.6,18.3,72.9,32.7,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12 13:30:00,Dortmund,Paderborn,https://crests.football-data.org/4.png,https://crests.football-data.org/29.png,0.0,0.0,Over 9.5 corners,False,85.5,1.07,True,6.3,89.9,6.3,89.9,89.9,6.3,89.9,6.3,89.9,,,89.7,6.4,89.4,6.6,88.8,7.0,87.6,7.8,85.5,9.3,81.7,11.9,75.7,16.2,66.8,23.0,55.2,32.8,,,,,,,,,,,,,89.9,6.3,57.4,30.8,34.4,53.4,19.0,72.0,11.7,81.9,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12 13:30:00,Augsburg,Leverkusen,https://crests.football-data.org/16.png,https://crests.football-data.org/3.png,1.15,1.8,Over 5.5 corners,False,85.8,1.07,True,16.9,20.2,44.2,43.2,74.8,61.0,27.7,56.0,32.1,23.4,66.3,85.8,9.1,81.0,12.4,72.4,18.6,59.5,29.1,43.9,43.4,29.9,58.5,20.0,70.6,14.0,78.7,10.5,83.6,,,29.8,58.6,19.9,70.7,,,,,,,,,,,,,,,,,,,22.9,52.7,59.4,29.2,43.8,43.5,42.4,30.3,,,,,,,,,,,,,,
2026-09-12 13:30:00,Mainz,Ein Frankfurt,https://crests.football-data.org/15.png,https://crests.football-data.org/19.png,1.47,1.46,Over 5.5 corners,False,85.9,1.06,True,28.0,21.6,27.5,61.3,60.7,63.4,25.8,55.5,32.5,44.1,43.3,85.9,9.0,81.2,12.2,72.9,18.3,60.1,28.6,44.6,42.8,30.5,57.8,20.4,70.1,14.2,78.4,10.7,83.4,,,19.0,72.0,,,,,,,,,,,,,,,,,,,,,,,43.5,43.8,28.9,59.6,,,73.3,12.4,60.0,28.7,54.9,21.0,,,,,,,,
2026-09-12 13:30:00,Freiburg,M'gladbach,https://crests.football-data.org/17.png,https://crests.football-data.org/18.png,2.16,1.14,Over 1.5 goles,False,81.7,1.12,True,53.8,17.7,14.0,78.8,34.0,64.6,24.8,64.2,25.1,73.9,17.6,81.8,11.8,73.2,18.0,59.6,28.9,43.2,44.2,28.7,60.0,18.8,72.2,13.1,80.0,9.9,84.6,8.2,87.1,,,39.1,48.4,26.6,62.4,18.1,73.1,,,,,,,,,,,,,,,,,,,,,54.1,33.8,,,,,,,,,44.4,28.0,66.9,15.4,,,,
2026-09-12 16:30:00,FC Koln,Werder Bremen,https://crests.football-data.org/1.png,https://crests.football-data.org/12.png,1.78,1.53,Over 1.5 goles,False,82.0,1.12,True,34.3,19.8,23.9,65.6,53.5,70.1,20.4,65.0,24.5,52.3,35.5,87.5,7.9,84.6,9.8,79.2,13.6,70.2,20.4,57.1,31.1,42.2,45.2,29.1,59.5,19.8,70.9,14.0,78.7,,,27.4,61.4,18.4,72.8,,,,,,,,,,,,,,,,,,,,,56.6,31.6,40.9,46.5,,,,,,,,,,,,,56.3,21.1,63.6,16.7
