fecha,local,visitante,escudo_local,escudo_visitante,goles_esperados_local,goles_esperados_visitante,marcadores_probables,explicacion_ia,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,cuota_es_real,casa_apuestas,_event_id_odds,_local_odds_api,_visitante_odds_api,pick_es_seguro,calidad_datos,prob_local,prob_empate,prob_visitante,doble_op_1X,doble_op_X2,btts_si,btts_no,over_25,under_25,Over 5.5 corners,Under 5.5 corners,Over 6.5 corners,Under 6.5 corners,Over 7.5 corners,Under 7.5 corners,Over 8.5 corners,Under 8.5 corners,Over 9.5 corners,Under 9.5 corners,Over 10.5 corners,Under 10.5 corners,Over 11.5 corners,Under 11.5 corners,Over 12.5 corners,Under 12.5 corners,Over 13.5 corners,Under 13.5 corners,Más corners: Bologna,Más corners: Torino,Over 6.5 tiros a puerta,Under 6.5 tiros a puerta,Over 7.5 tiros a puerta,Under 7.5 tiros a puerta,Over 8.5 tiros a puerta,Under 8.5 tiros a puerta,Over 9.5 tiros a puerta,Under 9.5 tiros a puerta,Más tiros a puerta: Bologna,Más tiros a puerta: Torino,Over 27.5 faltas,Under 27.5 faltas,Over 28.5 faltas,Under 28.5 faltas,Over 29.5 faltas,Under 29.5 faltas,Over 30.5 faltas,Under 30.5 faltas,Más faltas: Bologna,Más faltas: Torino,Over 22.5 tiros totales,Under 22.5 tiros totales,Over 23.5 tiros totales,Under 23.5 tiros totales,Over 24.5 tiros totales,Under 24.5 tiros totales,Over 25.5 tiros totales,Under 25.5 tiros totales,Más tiros totales: Bologna,Más tiros totales: Torino,Hándicap asiático -0.5: Bologna,Hándicap asiático +0.5: Torino,Hándicap asiático +0.5: Bologna,Hándicap asiático -0.5: Torino,Hándicap asiático +1.5: Bologna,Hándicap asiático -1.5: Torino,Hándicap asiático +2.5: Bologna,Hándicap asiático -2.5: Torino,Hándicap europeo +0: Cubre Bologna,Hándicap europeo +0: Empate en el hándicap,Hándicap europeo +0: Cubre Torino,Hándicap europeo +1: Cubre Bologna,Hándicap europeo +1: Empate en el hándicap,Hándicap europeo +1: Cubre Torino,Hándicap europeo +2: Cubre Bologna,Hándicap europeo +2: Empate en el hándicap,Hándicap europeo +2: Cubre Torino,Más corners: Udinese,Más corners: Cagliari,Más tiros a puerta: Udinese,Más tiros a puerta: Cagliari,Over 25.5 faltas,Under 25.5 faltas,Over 26.5 faltas,Under 26.5 faltas,Más faltas: Udinese,Más faltas: Cagliari,Over 26.5 tiros totales,Under 26.5 tiros totales,Más tiros totales: Udinese,Más tiros totales: Cagliari,Hándicap asiático -0.5: Udinese,Hándicap asiático +0.5: Cagliari,Hándicap asiático +0.5: Udinese,Hándicap asiático -0.5: Cagliari,Hándicap asiático +1.5: Udinese,Hándicap asiático -1.5: Cagliari,Hándicap asiático +2.5: Udinese,Hándicap asiático -2.5: Cagliari,Hándicap europeo -1: Cubre Udinese,Hándicap europeo -1: Empate en el hándicap,Hándicap europeo -1: Cubre Cagliari,Hándicap europeo +0: Cubre Udinese,Hándicap europeo +0: Cubre Cagliari,Hándicap europeo +1: Cubre Udinese,Hándicap europeo +1: Cubre Cagliari,Más corners: Roma,Más corners: Inter,Over 10.5 tiros a puerta,Under 10.5 tiros a puerta,Más tiros a puerta: Roma,Más tiros a puerta: Inter,Over 22.5 faltas,Under 22.5 faltas,Over 23.5 faltas,Under 23.5 faltas,Over 24.5 faltas,Under 24.5 faltas,Más faltas: Roma,Más faltas: Inter,Más tiros totales: Roma,Más tiros totales: Inter,Hándicap asiático -1.5: Roma,Hándicap asiático +1.5: Inter,Hándicap asiático -0.5: Roma,Hándicap asiático +0.5: Inter,Hándicap asiático +0.5: Roma,Hándicap asiático -0.5: Inter,Hándicap asiático +1.5: Roma,Hándicap asiático -1.5: Inter,Hándicap europeo -1: Cubre Roma,Hándicap europeo -1: Cubre Inter,Hándicap europeo +0: Cubre Roma,Hándicap europeo +0: Cubre Inter,Hándicap europeo +1: Cubre Roma,Hándicap europeo +1: Cubre Inter,Más corners: Venezia,Más corners: Lazio,Más tiros a puerta: Venezia,Más tiros a puerta: Lazio,Más faltas: Venezia,Más faltas: Lazio,Más tiros totales: Venezia,Más tiros totales: Lazio,Hándicap asiático -1.5: Venezia,Hándicap asiático +1.5: Lazio,Hándicap asiático -0.5: Venezia,Hándicap asiático +0.5: Lazio,Hándicap asiático +0.5: Venezia,Hándicap asiático -0.5: Lazio,Hándicap asiático +1.5: Venezia,Hándicap asiático -1.5: Lazio,Hándicap europeo -2: Cubre Venezia,Hándicap europeo -2: Empate en el hándicap,Hándicap europeo -2: Cubre Lazio,Hándicap europeo -1: Cubre Venezia,Hándicap europeo -1: Cubre Lazio,Hándicap europeo +0: Cubre Venezia,Hándicap europeo +0: Cubre Lazio
2026-09-19 13:00:00,Bologna,Torino,https://crests.football-data.org/103.png,https://crests.football-data.org/586.png,1.5,0.95,"[{'marcador': '1-1', 'probabilidad': np.float64(14.0)}, {'marcador': '1-0', 'probabilidad': np.float64(10.7)}, {'marcador': '2-1', 'probabilidad': np.float64(10.5)}, {'marcador': '0-0', 'probabilidad': np.float64(10.4)}, {'marcador': '2-0', 'probabilidad': np.float64(8.1)}]","['Goles esperados según nuestro modelo: Bologna 1.50 — 0.95 Torino (favorece a Bologna)', 'Forma reciente de Bologna (últimos 5): 0V-2E-3D', 'Forma reciente de Torino (últimos 5): 1V-1E-3D', 'Índice de ataque (nuestro modelo): Bologna 0.98 de local vs Torino 0.87 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Bologna 0.90 de local vs Torino 1.11 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Bologna genera 1.08 de local vs Torino 0.89 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Under 11.5 corners"", alcanza 81.3% de probabilidad calibrada según nuestro modelo.']",Under 11.5 corners,False,81.3,1.13,False,,c7b8233ea02650f1055ae086b169b7a1,Bologna,Torino,True,completo,48.1,27.3,24.6,75.4,51.9,49.0,51.0,40.9,59.1,87.8,12.2,78.4,21.6,66.4,33.6,53.1,46.9,39.9,60.1,28.2,71.8,18.7,81.3,11.7,88.3,6.9,93.1,70.0,19.2,60.0,38.5,49.0,49.4,38.6,59.9,30.4,68.2,58.8,30.5,51.4,43.3,45.1,49.5,39.1,55.7,33.7,61.3,23.9,68.1,54.7,45.3,46.4,53.6,38.4,61.6,31.0,69.0,86.3,9.6,47.6,52.4,77.9,22.1,92.6,7.4,98.1,1.9,47.6,30.3,22.1,77.9,14.7,7.4,92.6,5.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-19 13:00:00,Udinese,Cagliari,https://crests.football-data.org/115.png,https://crests.football-data.org/104.png,1.26,0.94,"[{'marcador': '1-1', 'probabilidad': np.float64(15.0)}, {'marcador': '0-0', 'probabilidad': np.float64(12.9)}, {'marcador': '1-0', 'probabilidad': np.float64(11.6)}, {'marcador': '2-1', 'probabilidad': np.float64(9.5)}, {'marcador': '0-1', 'probabilidad': np.float64(8.2)}]","['Goles esperados según nuestro modelo: Udinese 1.26 — 0.94 Cagliari (favorece a Udinese)', 'Forma reciente de Udinese (últimos 5): 1V-1E-3D — viene de perder 2 partidos consecutivos', 'Forma reciente de Cagliari (últimos 5): 4V-0E-1D — viene de ganar 2 partidos consecutivos', 'Índice de ataque (nuestro modelo): Udinese 0.81 de local vs Cagliari 0.74 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Udinese 1.04 de local vs Cagliari 1.14 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Udinese genera 0.91 de local vs Cagliari 0.87 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Over 6.5 corners"", alcanza 81.3% de probabilidad calibrada según nuestro modelo.']",Over 6.5 corners,False,81.3,1.13,False,,,,,True,completo,43.0,28.9,28.1,71.9,57.0,43.8,56.2,33.3,66.7,89.8,10.2,81.3,18.7,70.2,29.8,57.4,42.6,44.3,55.7,32.2,67.8,22.0,78.0,14.2,85.8,8.6,91.4,,,60.3,38.2,49.3,49.0,38.9,59.6,30.7,68.0,,,39.8,54.9,34.2,60.8,,,,,,,,,54.0,46.0,45.9,54.1,38.0,62.0,,,,,,,,,,,,33.1,,,16.9,,,,,49.0,37.8,55.8,32.9,52.6,42.1,46.1,48.5,49.9,38.4,30.7,69.3,68.7,24.4,41.3,58.7,74.4,25.6,91.2,8.8,97.7,2.3,18.1,23.2,58.7,41.3,25.6,74.4,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-19 16:00:00,Roma,Inter,https://crests.football-data.org/100.png,https://crests.football-data.org/108.png,1.22,1.22,"[{'marcador': '1-1', 'probabilidad': np.float64(14.8)}, {'marcador': '0-0', 'probabilidad': np.float64(10.6)}, {'marcador': '1-2', 'probabilidad': np.float64(9.0)}, {'marcador': '2-1', 'probabilidad': np.float64(9.0)}, {'marcador': '0-1', 'probabilidad': np.float64(8.4)}]","['Goles esperados según nuestro modelo: Roma 1.22 — 1.22 Inter (favorece a Inter)', 'Forma reciente de Roma (últimos 5): 5V-0E-0D — viene de ganar 5 partidos consecutivos', 'Forma reciente de Inter (últimos 5): 4V-1E-0D — viene de ganar 4 partidos consecutivos', 'Índice de ataque (nuestro modelo): Roma 1.37 de local vs Inter 1.65 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Roma 0.61 de local vs Inter 0.65 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Roma genera 1.09 de local vs Inter 1.27 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Under 11.5 corners"", alcanza 84.3% de probabilidad calibrada según nuestro modelo.']",Under 11.5 corners,False,84.3,1.09,False,,,,,True,completo,36.7,28.7,34.5,65.5,63.3,51.5,48.5,40.7,59.3,85.6,14.4,75.1,24.9,62.3,37.7,48.6,51.4,35.6,64.4,24.4,75.6,15.7,84.3,9.5,90.5,5.4,94.6,,,,,55.1,43.3,44.5,53.9,35.2,63.4,,,,,,,,,,,,,,,56.7,43.3,48.6,51.4,40.7,59.3,,,,,,,,,,,,31.9,,,20.0,,,,,,,,,33.6,61.5,,,,,33.2,66.8,,,,,,,,,,,,19.9,,,,,,43.7,42.5,28.2,70.4,37.1,51.0,53.0,41.7,46.1,48.5,39.5,55.3,36.5,51.7,46.1,45.8,14.1,85.9,34.0,66.0,65.9,34.1,85.9,14.1,14.1,66.0,34.0,34.1,65.9,14.1,,,,,,,,,,,,,,,,,,,,,,,
2026-09-19 18:45:00,Venezia,Lazio,https://crests.football-data.org/454.png,https://crests.football-data.org/110.png,0.71,1.59,"[{'marcador': '0-1', 'probabilidad': np.float64(13.9)}, {'marcador': '1-1', 'probabilidad': np.float64(13.0)}, {'marcador': '0-0', 'probabilidad': np.float64(11.6)}, {'marcador': '0-2', 'probabilidad': np.float64(11.1)}, {'marcador': '1-2', 'probabilidad': np.float64(10.4)}]","['Goles esperados según nuestro modelo: Venezia 0.71 — 1.59 Lazio (favorece a Lazio)', 'Forma reciente de Venezia (últimos 5): 0V-0E-5D — viene de perder 5 partidos consecutivos', 'Forma reciente de Lazio (últimos 5): 4V-1E-0D', 'Índice de ataque (nuestro modelo): Venezia 0.69 de local vs Lazio 1.01 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Venezia 1.30 de local vs Lazio 0.76 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Venezia genera 0.76 de local vs Lazio 1.07 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Under 12.5 corners"", alcanza 82.3% de probabilidad calibrada según nuestro modelo.']",Under 12.5 corners,False,82.3,1.12,False,,,,,True,completo,21.7,25.5,52.9,47.1,78.3,39.6,60.4,35.9,64.1,91.9,8.1,84.7,15.3,74.7,25.3,62.7,37.3,49.9,50.1,37.4,62.6,26.5,73.5,17.7,82.3,11.2,88.8,,,,,62.2,36.3,52.2,46.1,42.2,56.2,,,34.0,61.0,,,,,,,,,,,60.0,40.0,52.0,48.0,44.1,55.9,,,,,,,,,,,,28.8,,,,,,,,,,,,46.1,48.5,39.7,55.0,,,36.4,63.6,,,,,,,,,,,,10.8,,,,,,,,33.7,64.9,,,,,,,52.8,41.9,,,,,,,,,,,,,,,,,,,20.1,69.4,28.0,63.3,59.3,30.3,24.9,68.2,3.9,96.1,14.8,85.2,43.6,56.4,70.0,30.0,0.8,3.1,96.1,3.9,85.2,14.8,56.4
