fecha_partido,local,visitante,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,fecha_generado,resultado_real,acierto
2026-08-28 18:30:00,Bayern Munich,Stuttgart,Over 2.5 goles + Over 5.5 corners,True,80.0,1.15,2026-08-28,,
2026-08-29 13:30:00,RB Leipzig,M'gladbach,Doble oportunidad 1X,False,82.3,1.12,2026-08-29,3-0,True
2026-08-29 13:30:00,Mainz,Paderborn,Doble oportunidad 1X,False,83.4,1.1,2026-08-29,0-0,True
2026-08-29 13:30:00,Union Berlin,Ein Frankfurt,Over 1.5 goles,False,80.9,1.14,2026-08-29,3-3,True
2026-08-29 13:30:00,Elversberg,Leverkusen,Over 1.5 goles,False,84.2,1.09,2026-08-29,3-2,True
2026-08-29 13:30:00,FC Koln,Hoffenheim,Over 1.5 goles,False,84.3,1.09,2026-08-29,3-2,True
2026-08-29 16:30:00,Dortmund,Hamburg,Over 1.5 goles,False,81.6,1.12,2026-08-29,2-0,True
2026-08-30 15:30:00,Augsburg,Schalke 04,Doble oportunidad 1X,False,80.8,1.14,2026-08-30,3-0,True
