fecha,local,visitante,goles_esperados_local,goles_esperados_visitante,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,pick_es_seguro,prob_local,prob_empate,prob_visitante,doble_op_1X,doble_op_X2,btts_si,btts_no,over_25,under_25,handicap_local_-0.5,handicap_visitante_+0.5,Over 5.5 corners,Under 5.5 corners,Over 6.5 corners,Under 6.5 corners,Over 7.5 corners,Under 7.5 corners,Over 8.5 corners,Under 8.5 corners,Over 9.5 corners,Under 9.5 corners,Over 10.5 corners,Under 10.5 corners,Over 11.5 corners,Under 11.5 corners,Over 12.5 corners,Under 12.5 corners,Over 13.5 corners,Under 13.5 corners,Más corners: Troyes,Más corners: Strasbourg,Over 5.0 tiros a puerta,Under 5.0 tiros a puerta,Over 6.0 tiros a puerta,Under 6.0 tiros a puerta,Over 7.0 tiros a puerta,Under 7.0 tiros a puerta,Over 8.0 tiros a puerta,Under 8.0 tiros a puerta,Más tiros a puerta: Troyes,Más tiros a puerta: Strasbourg,Más corners: Angers,Más corners: Rennes,Over 9.0 tiros a puerta,Under 9.0 tiros a puerta,Over 10.0 tiros a puerta,Under 10.0 tiros a puerta,Over 11.0 tiros a puerta,Under 11.0 tiros a puerta,Over 12.0 tiros a puerta,Under 12.0 tiros a puerta,Más tiros a puerta: Angers,Más tiros a puerta: Rennes,Más corners: Marseille,Más corners: Paris FC,Más tiros a puerta: Marseille,Más tiros a puerta: Paris FC
2026-09-06 13:00:00,Troyes,Strasbourg,0.62,1.04,Under 13.5 corners,False,87.2,1.05,True,15.0,29.6,35.4,52.4,77.3,26.6,62.4,18.8,72.2,23.9,65.7,81.4,12.1,72.5,18.6,58.5,29.9,41.9,45.5,27.7,61.1,18.1,73.1,12.7,80.6,9.7,84.9,8.1,87.2,47.9,25.4,65.9,23.7,48.0,39.4,30.9,57.4,19.3,71.6,25.3,46.0,,,,,,,,,,,,,,,,
2026-09-06 15:15:00,Angers,Rennes,1.12,1.9,Under 13.5 corners,False,86.1,1.06,True,15.6,19.5,47.6,39.8,76.5,61.3,27.5,57.7,30.6,20.9,69.5,83.5,10.6,76.5,15.6,64.7,24.7,49.1,38.4,33.7,54.3,22.1,67.9,15.0,77.3,11.0,82.9,8.8,86.1,,,,,,,,,,,,,17.6,61.3,52.9,34.9,37.9,49.6,25.7,63.5,17.6,73.9,10.3,78.5,,,,
2026-09-06 18:45:00,Marseille,Paris FC,1.81,0.9,Over 5.5 corners,False,85.7,1.07,True,51.6,19.9,13.3,79.7,36.0,51.5,36.2,48.4,39.1,74.5,17.1,85.7,9.1,80.9,12.4,72.3,18.7,59.3,29.2,43.8,43.6,29.8,58.7,19.9,70.8,13.9,78.8,10.5,83.7,,,,,,,57.4,30.9,40.7,46.7,,,,,26.7,62.2,17.6,73.8,,,,,,,85.8,7.6,75.4,11.2
