fecha,local,visitante,escudo_local,escudo_visitante,goles_esperados_local,goles_esperados_visitante,marcadores_probables,explicacion_ia,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,cuota_es_real,casa_apuestas,_event_id_odds,_local_odds_api,_visitante_odds_api,pick_es_seguro,calidad_datos,prob_local,prob_empate,prob_visitante,doble_op_1X,doble_op_X2,btts_si,btts_no,over_25,under_25,Over 5.5 corners,Under 5.5 corners,Over 6.5 corners,Under 6.5 corners,Over 7.5 corners,Under 7.5 corners,Over 8.5 corners,Under 8.5 corners,Over 9.5 corners,Under 9.5 corners,Over 10.5 corners,Under 10.5 corners,Over 11.5 corners,Under 11.5 corners,Over 12.5 corners,Under 12.5 corners,Over 13.5 corners,Under 13.5 corners,Más corners: Getafe,Más corners: Malaga,Over 4.5 tiros a puerta,Under 4.5 tiros a puerta,Over 5.5 tiros a puerta,Under 5.5 tiros a puerta,Over 6.5 tiros a puerta,Under 6.5 tiros a puerta,Over 7.5 tiros a puerta,Under 7.5 tiros a puerta,Más tiros a puerta: Getafe,Más tiros a puerta: Malaga,Over 24.5 faltas,Under 24.5 faltas,Over 25.5 faltas,Under 25.5 faltas,Over 26.5 faltas,Under 26.5 faltas,Over 27.5 faltas,Under 27.5 faltas,Más faltas: Getafe,Más faltas: Malaga,Over 21.5 tiros totales,Under 21.5 tiros totales,Over 22.5 tiros totales,Under 22.5 tiros totales,Over 23.5 tiros totales,Under 23.5 tiros totales,Over 24.5 tiros totales,Under 24.5 tiros totales,Más tiros totales: Getafe,Más tiros totales: Malaga,Hándicap asiático +0.5: Getafe,Hándicap asiático -0.5: Malaga,Hándicap asiático +1.5: Getafe,Hándicap asiático -1.5: Malaga,Hándicap asiático +2.5: Getafe,Hándicap asiático -2.5: Malaga,Hándicap asiático +3.5: Getafe,Hándicap asiático -3.5: Malaga,Hándicap europeo +0: Cubre Getafe,Hándicap europeo +0: Empate en el hándicap,Hándicap europeo +0: Cubre Malaga,Hándicap europeo +1: Cubre Getafe,Hándicap europeo +1: Empate en el hándicap,Hándicap europeo +1: Cubre Malaga,Hándicap europeo +2: Cubre Getafe,Hándicap europeo +2: Empate en el hándicap,Hándicap europeo +2: Cubre Malaga,Más corners: Ath Madrid,Más corners: Real Madrid,Over 8.5 tiros a puerta,Under 8.5 tiros a puerta,Over 9.5 tiros a puerta,Under 9.5 tiros a puerta,Over 10.5 tiros a puerta,Under 10.5 tiros a puerta,Over 11.5 tiros a puerta,Under 11.5 tiros a puerta,Más tiros a puerta: Ath Madrid,Más tiros a puerta: Real Madrid,Over 20.5 faltas,Under 20.5 faltas,Over 21.5 faltas,Under 21.5 faltas,Over 22.5 faltas,Under 22.5 faltas,Over 23.5 faltas,Under 23.5 faltas,Más faltas: Ath Madrid,Más faltas: Real Madrid,Over 25.5 tiros totales,Under 25.5 tiros totales,Over 26.5 tiros totales,Under 26.5 tiros totales,Over 27.5 tiros totales,Under 27.5 tiros totales,Over 28.5 tiros totales,Under 28.5 tiros totales,Más tiros totales: Ath Madrid,Más tiros totales: Real Madrid,Hándicap asiático -0.5: Ath Madrid,Hándicap asiático +0.5: Real Madrid,Hándicap asiático +0.5: Ath Madrid,Hándicap asiático -0.5: Real Madrid,Hándicap asiático +1.5: Ath Madrid,Hándicap asiático -1.5: Real Madrid,Hándicap asiático +2.5: Ath Madrid,Hándicap asiático -2.5: Real Madrid,Hándicap europeo -1: Cubre Ath Madrid,Hándicap europeo -1: Empate en el hándicap,Hándicap europeo -1: Cubre Real Madrid,Hándicap europeo +0: Cubre Ath Madrid,Hándicap europeo +0: Cubre Real Madrid,Hándicap europeo +1: Cubre Ath Madrid,Hándicap europeo +1: Cubre Real Madrid,Más corners: La Coruna,Más corners: Betis,Más tiros a puerta: La Coruna,Más tiros a puerta: Betis,Más faltas: La Coruna,Más faltas: Betis,Over 20.5 tiros totales,Under 20.5 tiros totales,Más tiros totales: La Coruna,Más tiros totales: Betis,Hándicap asiático -0.5: La Coruna,Hándicap asiático +0.5: Betis,Hándicap asiático +0.5: La Coruna,Hándicap asiático -0.5: Betis,Hándicap asiático +1.5: La Coruna,Hándicap asiático -1.5: Betis,Hándicap asiático +2.5: La Coruna,Hándicap asiático -2.5: Betis,Hándicap europeo -1: Cubre La Coruna,Hándicap europeo -1: Cubre Betis,Hándicap europeo +0: Cubre La Coruna,Hándicap europeo +0: Cubre Betis,Hándicap europeo +1: Cubre La Coruna,Hándicap europeo +1: Cubre Betis,Más corners: Villarreal,Más corners: Levante,Over 12.5 tiros a puerta,Under 12.5 tiros a puerta,Más tiros a puerta: Villarreal,Más tiros a puerta: Levante,Más faltas: Villarreal,Más faltas: Levante,Over 29.5 tiros totales,Under 29.5 tiros totales,Over 30.5 tiros totales,Under 30.5 tiros totales,Más tiros totales: Villarreal,Más tiros totales: Levante,Hándicap asiático +0.5: Villarreal,Hándicap asiático -0.5: Levante,Hándicap asiático +1.5: Villarreal,Hándicap asiático -1.5: Levante,Hándicap asiático +2.5: Villarreal,Hándicap asiático -2.5: Levante,Hándicap asiático +3.5: Villarreal,Hándicap asiático -3.5: Levante,Hándicap europeo +0: Cubre Villarreal,Hándicap europeo +0: Cubre Levante,Hándicap europeo +1: Cubre Villarreal,Hándicap europeo +1: Cubre Levante,Hándicap europeo +2: Cubre Villarreal,Hándicap europeo +2: Cubre Levante,Más corners: Valencia,Más corners: Sociedad,Más tiros a puerta: Valencia,Más tiros a puerta: Sociedad,Over 28.5 faltas,Under 28.5 faltas,Más faltas: Valencia,Más faltas: Sociedad,Más tiros totales: Valencia,Más tiros totales: Sociedad,Hándicap asiático -0.5: Valencia,Hándicap asiático +0.5: Sociedad,Hándicap asiático +0.5: Valencia,Hándicap asiático -0.5: Sociedad,Hándicap asiático +1.5: Valencia,Hándicap asiático -1.5: Sociedad,Hándicap asiático +2.5: Valencia,Hándicap asiático -2.5: Sociedad,Hándicap europeo -1: Cubre Valencia,Hándicap europeo -1: Cubre Sociedad,Hándicap europeo +0: Cubre Valencia,Hándicap europeo +0: Cubre Sociedad,Hándicap europeo +1: Cubre Valencia,Hándicap europeo +1: Cubre Sociedad
2026-09-20 12:00:00,Getafe,Malaga,https://crests.football-data.org/82.png,https://crests.football-data.org/84.png,1.37,0.34,"[{'marcador': '1-0', 'probabilidad': np.float64(23.6)}, {'marcador': '0-0', 'probabilidad': np.float64(19.0)}, {'marcador': '2-0', 'probabilidad': np.float64(16.2)}, {'marcador': '1-1', 'probabilidad': np.float64(9.5)}, {'marcador': '3-0', 'probabilidad': np.float64(7.4)}]","['Goles esperados según nuestro modelo: Getafe 1.37 — 0.34 Malaga (favorece a Getafe)', 'Forma reciente de Getafe (últimos 5): 1V-2E-2D', 'Forma reciente de Malaga (últimos 5): 0V-3E-2D', 'Índice de ataque (nuestro modelo): Getafe 0.64 de local vs Malaga 0.36 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Getafe 0.82 de local vs Malaga 1.42 de visitante (más bajo = defensa más sólida)', 'El pick recomendado, ""Under 2.5 goles"", alcanza 80.8% de probabilidad calibrada según nuestro modelo.']",Under 2.5 goles,False,80.8,1.14,False,,a5b897588648ae4d05d17a370f2afae1,Getafe,Málaga,True,completo,60.1,24.3,15.6,84.4,39.9,18.1,81.9,19.2,80.8,79.7,20.3,67.0,33.0,52.9,47.1,38.9,61.1,26.7,73.3,17.1,82.9,10.3,89.7,5.8,94.2,3.0,97.0,45.3,40.3,63.1,35.4,50.6,47.8,38.5,59.9,29.5,69.2,71.6,21.6,54.4,40.3,47.8,46.8,41.3,53.4,35.4,59.5,54.1,34.6,54.7,45.3,46.2,53.8,38.1,61.9,30.5,69.5,74.7,19.0,91.9,8.1,98.8,1.2,99.9,0.1,100.0,0.0,62.3,29.6,8.1,91.9,6.9,1.2,98.8,1.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20 14:15:00,Ath Madrid,Real Madrid,https://crests.football-data.org/78.png,https://crests.football-data.org/86.png,1.42,1.31,"[{'marcador': '1-1', 'probabilidad': np.float64(13.4)}, {'marcador': '2-1', 'probabilidad': np.float64(9.5)}, {'marcador': '1-2', 'probabilidad': np.float64(8.7)}, {'marcador': '0-0', 'probabilidad': np.float64(7.9)}, {'marcador': '1-0', 'probabilidad': np.float64(7.7)}]","['Goles esperados según nuestro modelo: Ath Madrid 1.42 — 1.31 Real Madrid (favorece a Ath Madrid)', 'Forma reciente de Ath Madrid (últimos 5): 3V-1E-1D — viene de ganar 2 partidos consecutivos', 'Forma reciente de Real Madrid (últimos 5): 4V-0E-1D — viene de ganar 2 partidos consecutivos', 'Índice de ataque (nuestro modelo): Ath Madrid 1.40 de local vs Real Madrid 1.52 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Ath Madrid 0.75 de local vs Real Madrid 0.67 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Ath Madrid genera 1.17 de local vs Real Madrid 1.30 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Under 13.5 corners"", alcanza 85.5% de probabilidad calibrada según nuestro modelo.']",Under 13.5 corners,False,85.5,1.07,False,,,,,True,completo,39.8,27.6,32.6,67.4,60.2,56.7,43.3,48.6,51.4,93.8,6.2,87.8,12.2,79.2,20.8,68.2,31.8,55.9,44.1,43.4,56.6,31.9,68.1,22.1,77.9,14.5,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,18.9,,,,,47.7,39.6,52.8,45.6,42.7,55.7,34.1,64.4,27.7,71.0,45.3,42.8,55.3,39.4,48.1,46.5,41.1,53.6,34.8,60.2,69.1,22.7,53.1,46.9,45.3,54.7,37.8,62.2,30.8,69.2,44.7,47.4,38.1,61.9,67.0,33.0,85.8,14.2,95.2,4.8,17.5,20.6,61.9,38.1,33.0,67.0,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20 16:30:00,La Coruna,Betis,https://crests.football-data.org/560.png,https://crests.football-data.org/90.png,1.29,1.26,"[{'marcador': '1-1', 'probabilidad': np.float64(14.0)}, {'marcador': '0-0', 'probabilidad': np.float64(9.1)}, {'marcador': '2-1', 'probabilidad': np.float64(9.0)}, {'marcador': '1-2', 'probabilidad': np.float64(8.8)}, {'marcador': '1-0', 'probabilidad': np.float64(8.4)}]","['Goles esperados según nuestro modelo: La Coruna 1.29 — 1.26 Betis (favorece a La Coruna)', 'Forma reciente de La Coruna (últimos 5): 2V-2E-1D', 'Forma reciente de Betis (últimos 5): 4V-0E-1D — viene de ganar 3 partidos consecutivos', 'Índice de ataque (nuestro modelo): La Coruna 0.86 de local vs Betis 1.12 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): La Coruna 0.98 de local vs Betis 0.99 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): La Coruna genera 0.77 de local vs Betis 1.10 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Under 12.5 corners"", alcanza 82.4% de probabilidad calibrada según nuestro modelo.']",Under 12.5 corners,False,82.4,1.11,False,,,,,True,completo,37.9,28.1,34.0,66.0,62.1,52.6,47.4,43.4,56.6,91.8,8.2,84.6,15.4,74.6,25.4,62.6,37.4,49.7,50.3,37.3,62.7,26.4,73.6,17.6,82.4,11.1,88.9,,,,,,,,,,,,,56.0,38.8,49.4,45.2,42.9,51.7,36.9,58.0,,,48.2,51.8,39.8,60.2,31.9,68.1,,,,,,,,,,,,,,30.0,,,19.8,,,,,,,59.4,39.1,49.6,48.8,40.2,58.3,32.4,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,,,,,30.4,57.3,26.7,65.4,75.8,18.5,56.8,43.2,14.7,79.6,35.7,64.3,65.7,34.3,85.4,14.6,95.1,4.9,15.4,64.3,35.7,34.3,65.7,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20 16:30:00,Villarreal,Levante,https://crests.football-data.org/94.png,https://crests.football-data.org/88.png,2.48,1.07,"[{'marcador': '2-1', 'probabilidad': np.float64(10.5)}, {'marcador': '3-1', 'probabilidad': np.float64(8.7)}, {'marcador': '1-1', 'probabilidad': np.float64(8.4)}, {'marcador': '2-0', 'probabilidad': np.float64(7.6)}, {'marcador': '3-0', 'probabilidad': np.float64(6.3)}]","['Goles esperados según nuestro modelo: Villarreal 2.48 — 1.07 Levante (favorece a Villarreal)', 'Forma reciente de Villarreal (últimos 5): 1V-1E-3D', 'Forma reciente de Levante (últimos 5): 1V-2E-2D', 'Índice de ataque (nuestro modelo): Villarreal 1.44 de local vs Levante 0.84 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Villarreal 1.11 de local vs Levante 1.13 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Villarreal genera 1.03 de local vs Levante 0.89 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Under 13.5 corners"", alcanza 80.1% de probabilidad calibrada según nuestro modelo.']",Under 13.5 corners,False,80.1,1.15,False,,,,,True,completo,63.0,21.1,15.9,84.1,37.0,62.5,37.5,68.1,31.9,95.7,4.3,91.2,8.8,84.3,15.7,74.9,25.1,63.6,36.4,51.5,48.5,39.5,60.5,28.8,71.2,19.9,80.1,,,,,,,,,,,,,38.0,56.8,32.3,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,9.1,,,3.4,,,,,,59.5,39.0,50.2,48.1,41.2,57.2,,,,,,,51.5,43.2,44.5,50.1,,,,,,,57.6,42.4,50.1,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8,14.0,33.5,65.0,68.3,25.0,42.0,45.7,42.8,57.2,35.7,64.3,82.0,13.4,86.2,13.8,95.4,4.6,98.8,1.2,99.7,0.3,66.5,13.8,86.2,4.6,95.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20 19:00:00,Valencia,Sociedad,https://crests.football-data.org/95.png,https://crests.football-data.org/92.png,1.21,1.14,"[{'marcador': '1-1', 'probabilidad': np.float64(14.5)}, {'marcador': '0-0', 'probabilidad': np.float64(11.0)}, {'marcador': '1-0', 'probabilidad': np.float64(9.8)}, {'marcador': '0-1', 'probabilidad': np.float64(9.2)}, {'marcador': '2-1', 'probabilidad': np.float64(8.8)}]","['Goles esperados según nuestro modelo: Valencia 1.21 — 1.14 Sociedad (favorece a Valencia)', 'Forma reciente de Valencia (últimos 5): 1V-0E-4D', 'Forma reciente de Sociedad (últimos 5): 2V-1E-2D', 'Índice de ataque (nuestro modelo): Valencia 0.83 de local vs Sociedad 0.99 de visitante (1.00 = promedio de la liga)', 'Índice de defensa (nuestro modelo): Valencia 1.00 de local vs Sociedad 0.96 de visitante (más bajo = defensa más sólida)', 'Índice de córners (nuestro modelo): Valencia genera 1.00 de local vs Sociedad 1.16 de visitante (1.00 = promedio de la liga) — esto respalda el mercado de córners recomendado', 'El pick recomendado, ""Over 6.5 corners"", alcanza 83.5% de probabilidad calibrada según nuestro modelo.']",Over 6.5 corners,False,83.5,1.1,False,,,,,True,completo,38.4,28.5,33.1,66.9,61.6,47.1,52.9,37.0,63.0,91.2,8.8,83.5,16.5,73.2,26.8,60.9,39.1,47.9,52.1,35.5,64.5,24.8,75.2,16.4,83.6,10.2,89.8,,,,,,,57.1,41.3,45.9,52.5,,,,,51.7,43.0,45.1,49.5,38.9,55.8,,,,,54.6,45.4,46.3,53.7,38.3,61.7,,,,,,,,,,,,31.4,,,19.6,,,,,,,35.8,62.7,28.4,70.3,,,,,,,,,,,,,,,,,30.8,69.2,,,,,,,,,,,,,,,,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,44.7,44.1,42.9,33.4,61.7,30.1,59.7,64.6,28.0,36.1,63.9,67.4,32.6,87.0,13.0,96.0,4.0,15.1,63.9,36.1,32.6,67.4,13.0
