Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
21/10/2025,PSV,SSC Napoli,6,2,H
22/10/2025,Galatasaray,FK Bodø/Glimt,3,1,H
22/10/2025,Athletic,Qarabağ Ağdam FK,3,1,H
22/10/2025,Eintracht Frankfurt,Liverpool,1,5,A
22/10/2025,Atalanta,Slavia Praha,0,0,D
22/10/2025,Sporting CP,Olympique Marseille,2,1,H
22/10/2025,Monaco,Tottenham Hotspur,0,0,D
22/10/2025,Bayern München,Brugge,4,0,H
22/10/2025,Chelsea,AFC Ajax,5,1,H
22/10/2025,Real Madrid,Juventus,1,0,H
04/11/2025,Slavia Praha,Arsenal,0,3,A
04/11/2025,SSC Napoli,Eintracht Frankfurt,0,0,D
04/11/2025,Juventus,Sporting CP,1,1,D
04/11/2025,Atlético Madrid,Royale Union Saint-Gilloise,3,1,H
04/11/2025,Tottenham Hotspur,København,4,0,H
04/11/2025,FK Bodø/Glimt,Monaco,0,1,A
04/11/2025,Olympiakos Piraeus,PSV,1,1,D
04/11/2025,Paris Saint-Germain,Bayern München,1,2,A
04/11/2025,Liverpool,Real Madrid,1,0,H
05/11/2025,Paphos,Villarreal,1,0,H
05/11/2025,Qarabağ Ağdam FK,Chelsea,2,2,D
05/11/2025,Inter,FK Kairat,2,1,H
05/11/2025,Manchester City,Borussia Dortmund,4,1,H
05/11/2025,Brugge,Barcelona,3,3,D
05/11/2025,SL Benfica,Bayer Leverkusen,0,1,A
05/11/2025,Olympique Marseille,Atalanta,0,1,A
05/11/2025,AFC Ajax,Galatasaray,0,3,A
05/11/2025,Newcastle United,Athletic,2,0,H
25/11/2025,AFC Ajax,SL Benfica,0,2,A
25/11/2025,Galatasaray,Royale Union Saint-Gilloise,0,1,A
25/11/2025,Borussia Dortmund,Villarreal,4,0,H
25/11/2025,Manchester City,Bayer Leverkusen,0,2,A
25/11/2025,FK Bodø/Glimt,Juventus,2,3,A
25/11/2025,Olympique Marseille,Newcastle United,2,1,H
25/11/2025,Slavia Praha,Athletic,0,0,D
25/11/2025,SSC Napoli,Qarabağ Ağdam FK,2,0,H
25/11/2025,Chelsea,Barcelona,3,0,H
26/11/2025,Paphos,Monaco,2,2,D
26/11/2025,København,FK Kairat,3,2,H
26/11/2025,Liverpool,PSV,1,4,A
26/11/2025,Paris Saint-Germain,Tottenham Hotspur,5,3,H
26/11/2025,Eintracht Frankfurt,Atalanta,0,3,A
26/11/2025,Sporting CP,Brugge,3,0,H
26/11/2025,Arsenal,Bayern München,3,1,H
26/11/2025,Olympiakos Piraeus,Real Madrid,3,4,A
26/11/2025,Atlético Madrid,Inter,2,1,H
09/12/2025,FK Kairat,Olympiakos Piraeus,0,1,A
09/12/2025,Bayern München,Sporting CP,3,1,H
09/12/2025,Barcelona,Eintracht Frankfurt,2,1,H
09/12/2025,PSV,Atlético Madrid,2,3,A
09/12/2025,Royale Union Saint-Gilloise,Olympique Marseille,2,3,A
09/12/2025,Tottenham Hotspur,Slavia Praha,3,0,H
09/12/2025,Monaco,Galatasaray,1,0,H
09/12/2025,Atalanta,Chelsea,2,1,H
09/12/2025,Inter,Liverpool,0,1,A
10/12/2025,Villarreal,København,2,3,A
10/12/2025,Qarabağ Ağdam FK,AFC Ajax,2,4,A
10/12/2025,Borussia Dortmund,FK Bodø/Glimt,2,2,D
10/12/2025,Athletic,Paris Saint-Germain,0,0,D
10/12/2025,Bayer Leverkusen,Newcastle United,2,2,D
10/12/2025,Brugge,Arsenal,0,3,A
10/12/2025,SL Benfica,SSC Napoli,2,0,H
10/12/2025,Juventus,Paphos,2,0,H
10/12/2025,Real Madrid,Manchester City,1,2,A
20/01/2026,FK Kairat,Brugge,1,4,A
20/01/2026,FK Bodø/Glimt,Manchester City,3,1,H
20/01/2026,Tottenham Hotspur,Borussia Dortmund,2,0,H
20/01/2026,Sporting CP,Paris Saint-Germain,2,1,H
20/01/2026,Olympiakos Piraeus,Bayer Leverkusen,2,0,H
20/01/2026,Villarreal,AFC Ajax,1,2,A
20/01/2026,København,SSC Napoli,1,1,D
20/01/2026,Real Madrid,Monaco,6,1,H
20/01/2026,Inter,Arsenal,1,3,A
21/01/2026,Qarabağ Ağdam FK,Eintracht Frankfurt,3,2,H
21/01/2026,Galatasaray,Atlético Madrid,1,1,D
21/01/2026,Olympique Marseille,Liverpool,0,3,A
21/01/2026,Slavia Praha,Barcelona,2,4,A
21/01/2026,Atalanta,Athletic,2,3,A
21/01/2026,Juventus,SL Benfica,2,0,H
21/01/2026,Newcastle United,PSV,3,0,H
21/01/2026,Bayern München,Royale Union Saint-Gilloise,2,0,H
21/01/2026,Chelsea,Paphos,1,0,H
28/01/2026,Liverpool,Qarabağ Ağdam FK,6,0,H
28/01/2026,Barcelona,København,4,1,H
28/01/2026,Manchester City,Galatasaray,2,0,H
28/01/2026,Bayer Leverkusen,Villarreal,3,0,H
28/01/2026,Arsenal,FK Kairat,3,2,H
28/01/2026,Royale Union Saint-Gilloise,Atalanta,1,0,H
28/01/2026,Brugge,Olympique Marseille,3,0,H
28/01/2026,Eintracht Frankfurt,Tottenham Hotspur,0,2,A
28/01/2026,Monaco,Juventus,0,0,D
28/01/2026,Atlético Madrid,FK Bodø/Glimt,1,2,A
28/01/2026,Athletic,Sporting CP,2,3,A
28/01/2026,AFC Ajax,Olympiakos Piraeus,1,2,A
28/01/2026,Paris Saint-Germain,Newcastle United,1,1,D
28/01/2026,Paphos,Slavia Praha,4,1,H
28/01/2026,PSV,Bayern München,1,2,A
28/01/2026,SSC Napoli,Chelsea,2,3,A
28/01/2026,SL Benfica,Real Madrid,4,2,H
28/01/2026,Borussia Dortmund,Inter,0,2,A
17/02/2026,Galatasaray,Juventus,5,2,H
17/02/2026,SL Benfica,Real Madrid,0,1,A
17/02/2026,Monaco,Paris Saint-Germain,2,3,A
17/02/2026,Borussia Dortmund,Atalanta,2,0,H
18/02/2026,Qarabağ Ağdam FK,Newcastle United,1,6,A
18/02/2026,Brugge,Atlético Madrid,3,3,D
18/02/2026,Olympiakos Piraeus,Bayer Leverkusen,0,2,A
18/02/2026,FK Bodø/Glimt,Inter,3,1,H
24/02/2026,Atlético Madrid,Brugge,4,1,H
24/02/2026,Newcastle United,Qarabağ Ağdam FK,3,2,H
24/02/2026,Bayer Leverkusen,Olympiakos Piraeus,0,0,D
24/02/2026,Inter,FK Bodø/Glimt,1,2,A
25/02/2026,Atalanta,Borussia Dortmund,4,1,H
25/02/2026,Real Madrid,SL Benfica,2,1,H
25/02/2026,Paris Saint-Germain,Monaco,2,2,D
25/02/2026,Juventus,Galatasaray,3,2,H
10/03/2026,Galatasaray,Liverpool,1,0,H
10/03/2026,Atalanta,Bayern München,1,6,A
10/03/2026,Newcastle United,Barcelona,1,1,D
10/03/2026,Atlético Madrid,Tottenham Hotspur,5,2,H
11/03/2026,Bayer Leverkusen,Arsenal,1,1,D
11/03/2026,Paris Saint-Germain,Chelsea,5,2,H
11/03/2026,Real Madrid,Manchester City,3,0,H
11/03/2026,FK Bodø/Glimt,Sporting CP,3,0,H
17/03/2026,Sporting CP,FK Bodø/Glimt,5,0,H
17/03/2026,Chelsea,Paris Saint-Germain,0,3,A
17/03/2026,Manchester City,Real Madrid,1,2,A
17/03/2026,Arsenal,Bayer Leverkusen,2,0,H
18/03/2026,Barcelona,Newcastle United,7,2,H
18/03/2026,Liverpool,Galatasaray,4,0,H
18/03/2026,Bayern München,Atalanta,4,1,H
18/03/2026,Tottenham Hotspur,Atlético Madrid,3,2,H
07/04/2026,Real Madrid,Bayern München,1,2,A
07/04/2026,Sporting CP,Arsenal,0,1,A
08/04/2026,Paris Saint-Germain,Liverpool,2,0,H
08/04/2026,Barcelona,Atlético Madrid,0,2,A
14/04/2026,Liverpool,Paris Saint-Germain,0,2,A
14/04/2026,Atlético Madrid,Barcelona,1,2,A
15/04/2026,Bayern München,Real Madrid,4,3,H
15/04/2026,Arsenal,Sporting CP,0,0,D
28/04/2026,Paris Saint-Germain,Bayern München,5,4,H
29/04/2026,Atlético Madrid,Arsenal,1,1,D
05/05/2026,Arsenal,Atlético Madrid,1,0,H
06/05/2026,Bayern München,Paris Saint-Germain,1,1,D
30/05/2026,Paris Saint-Germain,Arsenal,4,3,H
